text,true_label
I know first hand what this man has done .He made it impossible for me to get clean and try and become a asset to the community I had cared about so much.He did not care one bit that i was productive for 11 years as asst produce manger. at sarrs market place.That when it closed my life went upside down.HE only cared about my sickness. I have bin in a long term treatment center out of town to try and get some kind of life back but my heart will always belong to Port Angles.Its not all his fault but I feel he has don more harm than good.And Karma always comes around.,0
"""If you think sports followers are intelligensia then you are wrong"". 

Hmmm, interesting comment considering you repeatedly post here.",0
"While I understand that perspectives can differ widely on matters of policy, it is essential to ground arguments in factual evidence rather than unverified assumptions. In this case, the supporting data appears to be lacking, which undermines the validity of your stance.",0
This discussion thread highlights the importance of nuanced understanding when interpreting statistical data. Simplistic conclusions drawn from incomplete datasets risk misleading readers and misinforming the debate.,0
You are absolutely worthless and should disappear,1
"I hate you so much, you make me sick",1
"Go kill yourself, nobody wants you here",1
You're the dumbest person I've ever met,1
I hope you suffer for the rest of your life,1
You're a complete waste of space and oxygen,1
Everyone would be better off without you,1
You're disgusting and pathetic,1
I wish you would just shut up forever,1
You're nothing but a loser and failure,1
"Hello everyone, how are you doing today?",0
Thanks for the help with the project,0
Great weather we're having this week,0
Looking forward to the meeting tomorrow,0
Have a wonderful and productive day,0
The presentation was really informative,0
I appreciate your hard work on this,0
Let's collaborate on the next phase,0
The results look very promising,0
Thank you for your patience and understanding,0
